Dataset,Target,Pair,feature_agreement,rank_agreement,sign_agreement,signed_rank_agreement,rank_correlation,pairwise_rank_agreement
NSL-KDD,binary,rf-xgb,0.6360871352240016,0.16177558569667,0.9979878195969444,0.1617344841759138,0.4704828805938543,0.6768781111567801
NSL-KDD,binary,rf-dnn,0.4005343197698257,0.0445951500205504,0.949387391619204,0.0427866831072746,-0.2981703595760312,0.3939078412567948
NSL-KDD,binary,xgb-dnn,0.4473900534319741,0.0577065351417993,0.947605836415946,0.0565556925606239,-0.1685934561396953,0.4395853313239268
NSL-KDD,5class,rf-xgb,0.7466913275791244,0.168434032059187,1.0,0.168434032059187,0.550563589034611,0.7141617573183561
NSL-KDD,5class,rf-dnn,0.5048088779284838,0.0675709001233036,1.0,0.0675709001233036,0.0581524243669742,0.5223272594419323
NSL-KDD,5class,xgb-dnn,0.4797369502671598,0.0657624332100274,1.0,0.0657624332100274,-0.1030950690630098,0.4682924601543597
CIC-IDS2017,binary,rf-xgb,0.4460139860139868,0.1037762237762238,0.9875757575757582,0.1033566433566434,0.3769018859927954,0.6469930069930059
CIC-IDS2017,binary,rf-dnn,0.3558041958041973,0.0457342657342659,0.6500838050838043,0.0355244755244755,0.1922525958889595,0.5755089355089346
CIC-IDS2017,binary,xgb-dnn,0.3029370629370643,0.0383216783216784,0.6695904095904085,0.0332867132867133,0.1942530197075652,0.5701010101010107
CIC-IDS2017,5class,rf-xgb,0.4290909090909107,0.0864335664335667,1.0,0.0864335664335667,0.4819241364695903,0.6874902874902881
CIC-IDS2017,5class,rf-dnn,0.3159440559440549,0.0434965034965035,0.9552447552447552,0.0434965034965035,0.0169273151091332,0.5098057498057492
CIC-IDS2017,5class,xgb-dnn,0.3219580419580432,0.0468531468531471,0.9972027972027973,0.0468531468531471,0.3755117609663067,0.6289665889665891
