dataset,pair,k,metric,point,lo_95,hi_95,n
cic_ids2017_v2,rf-dnn,5,RC,-0.08199351515022806,-0.2097474795190957,0.03990084287888314,12
cic_ids2017_v2,rf-dnn,10,RC,-0.015044226164695319,-0.14035548222060346,0.11056750875335804,12
cic_ids2017_v2,rf-dnn,15,RC,0.13742505405468805,0.01877802410502896,0.23520922165439975,12
cic_ids2017_v2,rf-xgb,5,RC,0.3735011209831592,0.12293688763658096,0.5573116537120867,12
cic_ids2017_v2,rf-xgb,10,RC,0.25373293722825946,0.07818419961006003,0.3963330089371449,12
cic_ids2017_v2,rf-xgb,15,RC,0.30722749578316383,0.21485500948583008,0.37806675876505696,12
cic_ids2017_v2,xgb-dnn,5,RC,0.25768914188706393,0.09842925099026216,0.40343312207945836,12
cic_ids2017_v2,xgb-dnn,10,RC,0.2677044229269006,0.1901472680788985,0.3368181830915026,12
cic_ids2017_v2,xgb-dnn,15,RC,0.20160623221393448,0.14053484768933017,0.25879817036347685,12
nsl_kdd_v2,rf-dnn,5,RC,0.061025282147795644,-0.03653727596083305,0.17025554294954293,12
nsl_kdd_v2,rf-dnn,10,RC,0.13692149920716393,0.09069723240569752,0.18612140570929567,12
nsl_kdd_v2,rf-dnn,15,RC,0.20078823921689715,0.1545920124093202,0.24982428738589343,12
nsl_kdd_v2,rf-xgb,5,RC,0.5187137836475693,0.4318380073683277,0.6131436331318608,12
nsl_kdd_v2,rf-xgb,10,RC,0.5855878381825099,0.5152299954571592,0.6451502307309864,12
nsl_kdd_v2,rf-xgb,15,RC,0.6028208695922896,0.5560037689757739,0.6416975357033096,12
nsl_kdd_v2,xgb-dnn,5,RC,0.017947246129264533,-0.07604128201985111,0.12692540709094388,12
nsl_kdd_v2,xgb-dnn,10,RC,0.14873049927560514,0.05368715960185501,0.24059351366946868,12
nsl_kdd_v2,xgb-dnn,15,RC,0.16400053502824588,0.08029833288332497,0.24541846372708784,12
unsw_nb15_v2,rf-dnn,5,RC,0.19174166666666667,0.10142041666666667,0.3027089583333333,12
unsw_nb15_v2,rf-dnn,10,RC,0.20304646464646456,0.14846103535353528,0.2726475252525251,12
unsw_nb15_v2,rf-dnn,15,RC,0.20220744047619046,0.15248166666666665,0.2561688244047618,12
unsw_nb15_v2,rf-xgb,5,RC,0.4386583333333332,0.3851004166666665,0.49317812499999986,12
unsw_nb15_v2,rf-xgb,10,RC,0.4678191919191918,0.4168351262626261,0.5087126515151513,12
unsw_nb15_v2,rf-xgb,15,RC,0.47675833333333334,0.4213092633928571,0.5305288988095239,12
unsw_nb15_v2,xgb-dnn,5,RC,0.16185833333333335,0.06410937500000008,0.2631947916666667,12
unsw_nb15_v2,xgb-dnn,10,RC,0.17032929292929286,0.10779239898989891,0.23316166666666646,12
unsw_nb15_v2,xgb-dnn,15,RC,0.20657946428571425,0.15918712053571427,0.2542621726190475,12
