dataset,model,pearson,lo_95,hi_95,n
cic_ids2017_v2,dnn_5class_cw,0.483647819648788,0.4279676355515865,0.5404829134579685,1000
cic_ids2017_v2,dnn_5class_smote,0.47110033516199323,0.3474680225931733,0.5695368255801275,1000
cic_ids2017_v2,rf_5class_cw,0.20035018890896608,0.12438969220290007,0.2649303841166385,1000
cic_ids2017_v2,rf_5class_smote,0.28236656704225477,0.17864515674742826,0.36345710552582416,1000
cic_ids2017_v2,xgb_5class_cw,0.2165772172462916,,,1000
cic_ids2017_v2,xgb_5class_smote,0.2566509910422533,,,1000
nsl_kdd_v2,dnn_5class_cw,-0.005029389650715358,-0.06002081318813687,0.05691980779034838,1000
nsl_kdd_v2,dnn_5class_smote,0.202217025496332,0.14102730127832103,0.26284570069883395,1000
nsl_kdd_v2,rf_5class_cw,-0.032091819433688884,-0.09049390654170543,0.024623869227185114,1000
nsl_kdd_v2,rf_5class_smote,-0.09957113161252046,-0.15033341795859884,-0.04577982723508963,1000
nsl_kdd_v2,xgb_5class_cw,0.12017220900304812,0.0585535101378582,0.18742833919673352,1000
nsl_kdd_v2,xgb_5class_smote,0.14589061280106141,0.08324461880749197,0.22453588901847565,1000
unsw_nb15_v2,dnn_5class_cw,0.43532510742564223,0.385338868309571,0.4944238297872041,1000
unsw_nb15_v2,dnn_5class_smote,0.41648418484914296,0.36053722548894535,0.48071307596850055,1000
unsw_nb15_v2,rf_5class_cw,0.45324965236566944,0.40476457466768634,0.5021719676779957,1000
unsw_nb15_v2,rf_5class_smote,0.5039791488267402,0.44899511834873485,0.5570754028624941,1000
unsw_nb15_v2,xgb_5class_cw,0.473930441334393,0.4163951713437188,0.5261500597358924,1000
unsw_nb15_v2,xgb_5class_smote,0.5077966480468924,0.4516637126363124,0.5630545585677873,1000
