Model,Variant,ECE,MCE,Brier,NLL,Accuracy,F1m
rf_binary_cw,uncalibrated,0.1667680169493484,0.6297825417788683,0.3310014854797672,0.7338911173556306,0.7649041873669269,0.763638042159118
rf_binary_cw,temp_global,0.22951985594201593,0.5149599796353299,0.45900972948337704,5.06514805362881,0.7649041873669269,0.763638042159118
rf_binary_cw,temp_perclass,0.22252834546523187,0.514842724842717,0.44354326131263977,4.81551514935317,0.7736426543647977,0.7727062517856909
rf_binary_cw,iso_global,0.2255011058870419,0.6138788422993103,0.45482215414347615,6.0781868503904635,0.7687189496096523,0.7675917811298402
rf_binary_cw,iso_perclass,0.22378483846366876,0.8039914286300708,0.44844269756290417,6.0779948311555065,0.7736870120652946,0.7727520918972345
xgb_binary_cw,uncalibrated,0.1905056139741111,0.3541654867945977,0.3898593507460769,1.2251418796840141,0.7936036195883606,0.7932120569225939
xgb_binary_cw,temp_global,0.20608991986263547,0.7095912575721741,0.41221851385703223,3.243682713514154,0.7936036195883606,0.7932120569225939
xgb_binary_cw,temp_perclass,0.2034793286435413,0.4750686756008514,0.40721083263038577,5.388277142277237,0.7961763662171752,0.7958356150959877
xgb_binary_cw,iso_global,0.20639638041163944,0.20639638041163944,0.4127927608232789,3.2904506852873627,0.7936036195883606,0.7932120569225939
xgb_binary_cw,iso_perclass,0.20264831584044768,0.5032006899515789,0.40637876794220784,3.2083359675154055,0.7959102200141944,0.7955645563655745
dnn_binary_cw,uncalibrated,0.19088810803917303,0.606466231515604,0.3829423537689548,1.6308608332844672,0.7904542228530873,0.790427198649891
dnn_binary_cw,temp_global,0.1964799412800498,0.6565942089929832,0.3929649237165081,2.0617927784422805,0.7904542228530873,0.790427198649891
dnn_binary_cw,temp_perclass,0.197033395470532,0.586106696358645,0.39283885706439986,2.2627282666975335,0.7908977998580553,0.7908733020526104
dnn_binary_cw,iso_global,0.19879296826789616,0.4750436544418335,0.39733449542462973,2.3491567655470855,0.7904098651525905,0.79038304601458
dnn_binary_cw,iso_perclass,0.2006721496740667,0.8141106084335682,0.3973382689607877,2.4237974475624195,0.7900993612491128,0.7900621845153123
rf_5class_smote,uncalibrated,0.16315178809059105,0.661999099099099,0.3624420567948962,1.5033242095955948,0.7483144073811213,0.5253036203115997
rf_5class_smote,temp_global,0.24645848696150321,0.3675450213032748,0.494369665888678,5.55124535624109,0.7483144073811213,0.5253036203115997
rf_5class_smote,temp_perclass,0.22793406267794825,0.6562368905172772,0.45882480866092323,5.0394999967628475,0.7667672107877928,0.516045808076677
rf_5class_smote,iso_global,0.23578823457717024,0.3697701961029171,0.48452451589395296,6.677769770211129,0.7556334279630944,0.561526115157632
rf_5class_smote,iso_perclass,0.2136309472906428,0.6305812794744593,0.4246078532673548,5.0489560368864,0.7703601845280341,0.560286222290492
xgb_5class_smote,uncalibrated,0.184650213635448,0.44231685996055603,0.3903451818193973,1.7672491550237772,0.7942689850958127,0.6387051174864459
xgb_5class_smote,temp_global,0.20484723157339949,0.616242488225301,0.41016987099425634,3.2081627438040345,0.7942689850958127,0.6387051174864459
xgb_5class_smote,temp_perclass,0.2020525803389187,0.5199314413159466,0.4050027183840348,5.088952654251282,0.7964425124201562,0.6392933774090629
xgb_5class_smote,iso_global,0.20573101490418733,0.20573101490418733,0.4114620298083747,3.2798431721794397,0.7942689850958127,0.6387051174864459
xgb_5class_smote,iso_perclass,0.19867471714733417,0.7536898734062676,0.3951575068345079,2.945304311036528,0.7956440738112136,0.6407903674460464
dnn_5class_smote,uncalibrated,0.20134846729836492,0.42433322395698253,0.41220564836891793,2.5218182474148954,0.7885911994322214,0.5838539831007332
dnn_5class_smote,temp_global,0.1921130028256526,0.6693910956382751,0.40427392617739794,1.9156860555987667,0.7885911994322214,0.5838539831007332
dnn_5class_smote,temp_perclass,0.20272163669807597,0.6884898630824173,0.41992152895129664,3.3889531289389097,0.7811834634492548,0.5701939815290713
dnn_5class_smote,iso_global,0.19124728674961372,0.36415897607803344,0.40534959578236446,2.4990978704059335,0.7865063875088716,0.5805232050847363
dnn_5class_smote,iso_perclass,0.2060274041533428,0.6772572469355456,0.4281480289146048,3.187562672120679,0.776570262597587,0.565196022640419
