Model,Perturbation,Jaccard@10,Lipschitz (median),F-Fidelity (perturbed),F-Fidelity (original)
rf_binary_cw,gaussian,0.697119322808239,0.4332377314567566,0.3239195042299654,0.41713162068169873
rf_binary_cw,fgsm,0.6650312722950597,0.31657710671424866,0.31028383604417,0.41713162068169873
rf_binary_cw,pgd,0.6851368946124179,0.3782041370868683,0.23396687668328855,0.41713162068169873
xgb_binary_cw,gaussian,0.5913225884138316,13.932108879089355,0.2027810093066847,0.4719094535969678
xgb_binary_cw,fgsm,0.5783095757070037,10.00439167022705,0.4591180740055426,0.4719094535969678
xgb_binary_cw,pgd,0.61838238307926,11.90392017364502,0.4114206621433897,0.4719094535969678
dnn_binary_cw,gaussian,0.9201835111204372,0.39132845401763916,0.33434452521621294,0.3395954439853349
dnn_binary_cw,fgsm,0.8770790344580915,0.7600405216217041,0.21382654294622105,0.3395954439853349
dnn_binary_cw,pgd,0.8992271251916076,0.7299214005470276,0.24773125979875565,0.3395954439853349
rf_5class_smote,gaussian,0.6095862580319192,0.4115979075431824,0.3988555476744819,0.5226166922954909
rf_5class_smote,fgsm,0.5490602477742711,0.42498478293418884,0.4607126265741571,0.5226166922954909
rf_5class_smote,pgd,0.5780314176895712,0.5223863124847412,0.43943228936646483,0.5226166922954909
xgb_5class_smote,gaussian,0.6515595039783649,12.371933937072754,-0.0381487935652158,0.33734518988496753
xgb_5class_smote,fgsm,0.639715192171876,12.99833869934082,0.1356622816483832,0.33734518988496753
xgb_5class_smote,pgd,0.6563411973159461,15.25928020477295,0.0708339352969767,0.33734518988496753
dnn_5class_smote,gaussian,0.920354803392158,1.318552851676941,0.20699197576059858,0.2218073966786045
dnn_5class_smote,fgsm,0.8564428019418834,2.973687171936035,0.13076243146336092,0.2218073966786045
dnn_5class_smote,pgd,0.88679721992643,2.9812281131744385,0.14828864990774784,0.2218073966786045
