Model,Target,Accuracy,F1-macro,F1-weighted,MCC,AUC-ROC,R2L F1,U2R F1,Time (s)
rf_binary_cw,binary,0.855,0.8547,0.8558,0.7344,0.9719,,,37.6
xgb_binary_cw,binary,0.8553,0.855,0.8562,0.7329,0.9738,,,7.0
dnn_binary_cw,binary,0.8606,0.8599,0.8615,0.7351,0.9677,,,57.5
rf_5class_smote,multiclass,0.6872,0.5505,0.7136,0.5297,,0.573,0.3105,87.8
xgb_5class_smote,multiclass,0.7152,0.5911,0.7357,0.5608,,0.606,0.4356,17.2
dnn_5class_smote,multiclass,0.6348,0.502,0.6695,0.4751,,0.5062,0.2233,111.3
rf_5class_cw,multiclass,0.6961,0.5686,0.7192,0.5376,,0.5891,0.3789,40.2
xgb_5class_cw,multiclass,0.7012,0.5775,0.7236,0.544,,0.5874,0.4187,12.0
dnn_5class_cw,multiclass,0.6017,0.4774,0.6424,0.4453,,0.4799,0.1558,48.8
